y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167
0.0,-0.32833,-0.26251,-0.22715,-0.21965,1.65279,-0.52146,-0.16768,-0.25618,-0.58061,-0.14176,-0.25473,-0.36554,-0.55442,-0.37652,-0.67572,-0.59077,0.61427,-0.21782,-0.55771,-0.17803,-0.1809,-0.2462,-0.56506,-0.17096,0.12334,0.39444,-0.40668,-0.5893,-0.18431,-0.36149,-0.16842,-0.61489,-0.44247,-0.27342,-0.29317,-0.61341,-0.64415,-0.27357,3.34781,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.60654,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,-0.54603,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,3.46069,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,2.63125,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,1.179,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,2.45142,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
0.0,-0.32833,-0.26251,-0.22715,-0.21965,-0.45934,2.9814,-0.16768,-0.25618,-0.58061,-0.14176,1.55473,-0.36554,1.60867,0.95694,1.68358,-0.59077,0.61427,-0.21782,2.1974,-0.17803,-0.1809,-0.2462,2.19328,1.6351,0.87062,-0.48399,-0.40668,2.07225,-0.18431,-0.36149,-0.16842,-0.61489,-0.44247,-0.27342,-0.29317,-0.01736,-0.0197,7.9237,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,3.57362,-0.15908,-0.19681,-0.60654,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,1.32479,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,3.46069,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,3.76665,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,1.60429,1.62606,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,0.39114,3.44842,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,1.59913,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
1.0,-0.32833,1.37618,-0.22715,-0.21965,-0.45934,-0.81337,-0.16768,-0.25618,-0.58061,-0.14176,-0.25473,1.95144,-0.55442,-0.37652,-0.67572,-0.59077,-0.59664,-0.21782,-0.55771,-0.17803,-0.48761,-0.2462,-0.56506,-0.17096,-0.62395,-0.48399,-0.40668,-0.5893,-0.18431,-0.36149,-0.16842,-0.61489,2.05477,1.43338,-0.29317,-0.01736,-0.0197,-0.27357,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.34918,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,-0.54603,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,3.10858,-0.18447,-0.29716,-0.24871,-0.12485,2.82073,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,1.1325,-0.2914,-0.14196,-0.18367,1.62867,1.77515,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,9.09327,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,1.29058,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
2.0,-0.32833,-0.26251,4.09223,8.26443,2.92007,2.68949,-0.16768,-0.25618,1.9047,-0.14176,-0.25473,1.95144,5.50224,-0.37652,3.45307,-0.59077,-0.59664,-0.21782,1.09536,-0.17803,-0.48761,-0.2462,1.08995,-0.17096,0.12334,2.1513,-0.40668,-0.5893,-0.18431,-0.36149,-0.16842,1.58801,2.05477,-0.27342,-0.29317,-0.01736,-0.0197,-0.27357,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.60654,-0.24937,4.88968,-0.21303,2.92866,-0.35798,5.06643,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,11.21607,-0.29716,-0.24871,-0.12485,2.82073,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,4.21038,-0.19065,-0.27843,-0.13631,3.97748,-0.16842,-0.25962,5.10872,-0.16373,-0.17401,-0.24907,-0.14944,1.22529,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,5.10389,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
1.0,-0.32833,-0.26251,-0.22715,-0.21965,1.65279,0.35425,-0.16768,-0.25618,2.52602,-0.14176,5.17364,-0.36554,-0.55442,-0.37652,1.09376,-0.59077,-0.59664,-0.21782,-0.55771,-0.17803,-0.48761,-0.2462,-0.56506,-0.17096,1.99155,2.1513,-0.40668,-0.5893,-0.18431,0.34436,-0.16842,-0.61489,2.05477,-0.27342,-0.29317,-0.01736,-0.0197,-0.27357,-0.20708,-0.30625,2.4844,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,2.99645,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,1.79249,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,4.95809,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,4.39097,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,7.49429,4.23736,3.63413,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,3.57873,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,2.88481,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
0.0,2.89239,-0.26251,-0.22715,-0.21965,1.23037,0.35425,-0.16768,-0.25618,-0.58061,-0.14176,-0.25473,1.95144,0.74343,-0.37652,-0.0859,1.26722,0.61427,-0.21782,-0.00669,-0.17803,0.43252,-0.2462,-0.01339,-0.17096,-0.62395,-0.48399,-0.40668,-0.29358,-0.18431,-0.36149,-0.16842,-0.61489,-0.44247,-0.27342,-0.29317,-0.61341,-0.64415,-0.27357,-0.20708,-0.30625,1.91889,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.60654,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,1.32479,3.14228,-0.3688,-0.13946,-0.28803,-0.20927,2.33699,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,3.46069,-0.21405,0.25829,8.58142,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,4.94677,-0.24907,5.71433,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
1.0,2.89239,-0.26251,2.65244,-0.21965,-0.45934,1.52187,-0.16768,1.44616,0.66204,-0.14176,-0.25473,-0.36554,-0.12181,0.06797,2.27341,-0.59077,-0.59664,0.93273,-0.55771,-0.17803,0.73923,0.88086,-0.56506,1.6351,-0.2503,-0.48399,-0.40668,-0.5893,-0.18431,1.75606,-0.16842,-0.61489,-0.44247,1.43338,-0.29317,-0.61341,-0.0197,2.45885,-0.20708,1.21394,0.78787,-0.16373,1.55122,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,2.0957,5.53872,1.47229,-0.21303,6.03847,-0.35798,-0.07833,0.83664,0.53029,1.84179,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,3.20539,-0.14196,-0.18367,-0.17029,1.77515,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,0.71735,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,0.86926,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,1.29058,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,2.4721,-0.20188,6.30552,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,2.87968,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
0.0,-0.32833,-0.26251,-0.22715,-0.21965,-0.45934,-0.81337,-0.16768,-0.25618,-0.58061,-0.14176,1.55473,-0.36554,0.31081,0.95694,-0.67572,1.26722,1.82518,-0.21782,0.54433,-0.17803,-0.48761,-0.2462,0.53828,1.6351,-0.62395,-0.48399,-0.40668,1.4808,-0.18431,-0.36149,-0.16842,-0.61489,-0.44247,-0.27342,3.73306,-0.61341,-0.64415,2.45885,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,3.57362,-0.15908,-0.19681,-0.34918,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,0.85708,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,2.74029,-0.27255,-0.14276,1.41161,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,3.9736,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,1.58537,-0.19404,0.54963,-0.13593,2.79547,-0.14072,-0.19895,-0.16648,-0.0986,2.22059,-0.19522,2.11385,0.71735,3.44842,2.99992,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,2.11959,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,1.59913,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
1.0,2.89239,-0.26251,-0.22715,-0.21965,-0.45934,-0.81337,-0.16768,-0.25618,0.66204,-0.14176,-0.25473,1.95144,-0.55442,-0.37652,-0.0859,-0.59077,-0.59664,-0.21782,-0.55771,-0.17803,-0.1809,-0.2462,-0.56506,-0.17096,0.12334,-0.48399,0.86265,-0.5893,-0.18431,-0.36149,-0.16842,1.58801,-0.44247,-0.27342,-0.29317,-0.01736,-0.0197,1.09264,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,2.27124,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.2205,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,-0.54603,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,2.82073,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,3.25207,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,3.97748,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,9.55193,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,2.60708,-0.14424,-0.09436,-0.12786,-0.10824
1.0,-0.32833,-0.26251,-0.22715,-0.21965,-0.45934,-0.81337,-0.16768,-0.25618,0.04072,-0.14176,-0.25473,-0.36554,-0.55442,-0.37652,0.50393,-0.59077,-0.59664,-0.21782,2.1974,-0.17803,-0.48761,-0.2462,2.19328,-0.17096,1.24427,-0.48399,-0.40668,-0.5893,-0.18431,-0.36149,-0.16842,-0.61489,2.05477,-0.27342,-0.29317,-0.01736,-0.0197,-0.27357,-0.20708,-0.30625,-0.34315,-0.16373,3.47045,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,0.9376,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,-0.54603,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,2.363,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,0.8742,4.94379,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,3.63413,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,3.39801,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,2.43951,-0.09436,-0.12786,-0.10824
0.0,-0.32833,-0.26251,-0.22715,-0.21965,-0.45934,0.64616,-0.16768,-0.25618,-0.58061,-0.14176,-0.25473,-0.36554,-0.55442,-0.37652,-0.38081,1.26722,0.61427,-0.21782,-0.55771,-0.17803,-0.48761,-0.2462,-0.56506,-0.17096,0.49698,-0.48399,-0.40668,0.88934,-0.18431,-0.36149,-0.16842,-0.61489,-0.44247,-0.27342,-0.29317,-0.61341,-0.0197,-0.27357,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.60654,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,-0.54603,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,0.91024,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,4.67995,7.1166,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,3.46699,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
0.0,-0.32833,-0.26251,-0.22715,-0.21965,-0.45934,-0.52146,-0.16768,-0.25618,-0.58061,-0.14176,-0.25473,-0.36554,-0.12181,-0.37652,-0.67572,1.26722,0.61427,-0.21782,-0.55771,-0.17803,-0.1809,-0.2462,-0.56506,-0.17096,-0.62395,-0.48399,0.86265,0.88934,-0.18431,-0.36149,-0.16842,-0.61489,-0.44247,-0.27342,2.12257,-0.61341,-0.64415,-0.27357,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.60654,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,-0.07833,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,0.68756,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,2.64874,3.42013,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,0.06493,-0.25145,2.99992,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
1.0,-0.32833,-0.26251,-0.22715,-0.21965,-0.45934,-0.81337,-0.16768,-0.25618,-0.58061,-0.14176,-0.25473,-0.36554,-0.55442,-0.37652,-0.38081,-0.59077,-0.59664,-0.21782,-0.00669,-0.17803,-0.48761,-0.2462,-0.01339,-0.17096,-0.62395,-0.48399,-0.40668,-0.5893,-0.18431,-0.36149,-0.16842,1.58801,-0.44247,-0.27342,-0.29317,-0.01736,-0.0197,-0.27357,-0.20708,-0.30625,-0.34315,-0.16373,-0.36801,-0.22621,-0.31875,-0.39472,-0.18723,-0.21894,-0.33695,-0.15908,-0.19681,-0.34918,-0.24937,-0.2364,-0.21303,-0.18115,-0.35798,-0.54603,-0.31619,-0.3688,-0.13946,-0.28803,-0.20927,-0.27233,-0.218,-0.18447,-0.29716,-0.24871,-0.12485,-0.35452,-0.19522,-0.21405,-0.26081,-0.19891,-0.18367,-0.25911,-0.12854,-0.1723,-0.22911,-0.3388,-0.27255,-0.14276,-0.42885,-0.26867,-0.2914,-0.14196,-0.18367,-0.17029,-0.33252,-0.15534,-0.20658,-0.10504,-0.2841,-0.3008,-0.2155,-0.16746,-0.19846,-0.15216,-0.09707,-0.13689,-0.25876,-0.24938,-0.19404,-0.2829,-0.13593,-0.27582,-0.14072,-0.19895,-0.16648,-0.0986,-0.23877,-0.19522,-0.15413,-0.26129,-0.25145,-0.18556,-0.18195,-0.17509,-0.15413,-0.2361,-0.18606,-0.23751,-0.19065,-0.27843,-0.13631,-0.26791,-0.16842,-0.25962,-0.25381,-0.16373,-0.17401,-0.24907,-0.14944,-0.1731,-0.18006,-0.17399,-0.27517,-0.12584,-0.16502,-0.22745,-0.16303,-0.13171,-0.13171,-0.21951,-0.11006,-0.13364,-0.1597,-0.20188,-0.14082,-0.16264,-0.24164,-0.1603,-0.16582,-0.20682,-0.32169,-0.17689,-0.15461,-0.13793,-0.20231,-0.13364,-0.18642,-0.11335,-0.07503,-0.16842,-0.14424,-0.09436,-0.12786,-0.10824
